Jugadora,Mes,Fecha,Tipo,DistTotal_m,DistAltaVel_m,Sprints,Acel_Alta,Decel_Alta,CargaMetabolica,DistPorMin
Inés Rius Badiola,August,2025-08-01,E,2662,156,2,24,29,3327,35.49
Berta Damaris Zubeldia,August,2025-08-01,E,3424,406,5,51,14,4280,45.65
Triana Duggan Cano,August,2025-08-01,E,5322,617,4,48,41,6653,70.97
Feller Caldentey Rubio,August,2025-08-01,E,5779,361,4,21,21,7224,77.06
Olga Sampedro Méndez,August,2025-08-01,E,4934,520,3,34,25,6168,65.8
Esther Banini Valls,August,2025-08-01,E,5169,451,7,19,56,6462,68.93
Lucía Rodríguez Szymanowski,August,2025-08-01,E,7035,681,2,58,38,8794,93.81
Sheila Vidal Gabarro,August,2025-08-01,E,7497,814,3,22,41,9371,99.97
Enith Landaluze Goiria,August,2025-08-01,E,6538,504,6,53,24,8173,87.18
Lorena Méndez Molina,August,2025-08-01,E,5502,339,1,37,17,6878,73.37
Ivana Pujol Muñoz,August,2025-08-01,E,6911,536,1,14,49,8639,92.16
Garazi Iraia Díaz,August,2025-08-01,E,6359,457,2,26,16,7949,84.8
Enith Urruzola Elexpuru,August,2025-08-01,E,7162,772,2,37,30,8953,95.5
Amaiur Putellas Sampedro,August,2025-08-01,E,6364,745,7,23,40,7956,84.87
Garazi Gil Padrón,August,2025-08-01,E,7275,729,4,41,43,9094,97.01
Adriana Putellas Coll,August,2025-08-01,E,7390,606,2,51,24,9237,98.54
Lola Zubeldia Ojeda,August,2025-08-01,E,6911,796,6,53,11,8639,92.15
Inés Rius Badiola,August,2025-08-03,P,3285,212,10,42,29,4106,34.58
Berta Damaris Zubeldia,August,2025-08-03,P,2240,266,29,44,45,2800,23.58
Triana Duggan Cano,August,2025-08-03,P,10491,919,25,25,46,13114,110.44
Feller Caldentey Rubio,August,2025-08-03,P,9931,551,1,59,18,12414,104.54
Olga Sampedro Méndez,August,2025-08-03,P,12364,1122,22,43,13,15455,130.15
Esther Banini Valls,August,2025-08-03,P,11402,1336,13,48,24,14253,120.03
Amaia Gutiérrez Peña,August,2025-08-03,P,13194,1422,8,55,43,16493,138.89
Lucía Rodríguez Szymanowski,August,2025-08-03,P,14213,796,23,35,15,17767,149.62
Sheila Vidal Gabarro,August,2025-08-03,P,14466,1047,6,35,24,18082,152.27
Enith Landaluze Goiria,August,2025-08-03,P,13612,1494,29,34,17,17015,143.29
Lorena Méndez Molina,August,2025-08-03,P,9929,737,13,28,48,12412,104.52
Ivana Pujol Muñoz,August,2025-08-03,P,12853,651,17,10,10,16067,135.3
Garazi Iraia Díaz,August,2025-08-03,P,13444,982,14,40,40,16806,141.52
Enith Urruzola Elexpuru,August,2025-08-03,P,13879,831,18,45,25,17349,146.1
Amaiur Putellas Sampedro,August,2025-08-03,P,12643,1481,9,50,42,15804,133.09
Garazi Gil Padrón,August,2025-08-03,P,15088,1143,13,45,52,18860,158.83
Adriana Putellas Coll,August,2025-08-03,P,13392,1147,19,16,14,16740,140.97
Lola Zubeldia Ojeda,August,2025-08-03,P,14316,735,8,11,47,17895,150.7
Inés Rius Badiola,August,2025-08-04,E,2430,281,1,51,55,3037,32.4
Berta Damaris Zubeldia,August,2025-08-04,E,3319,396,5,10,31,4148,44.25
Triana Duggan Cano,August,2025-08-04,E,5767,635,5,23,52,7209,76.91
Feller Caldentey Rubio,August,2025-08-04,E,5028,584,7,36,32,6286,67.05
Olga Sampedro Méndez,August,2025-08-04,E,5576,382,3,57,41,6970,74.35
Esther Banini Valls,August,2025-08-04,E,6151,341,5,41,47,7688,82.02
Amaia Gutiérrez Peña,August,2025-08-04,E,7071,577,7,57,58,8838,94.28
Lucía Rodríguez Szymanowski,August,2025-08-04,E,7500,450,1,24,11,9376,100.01
Sheila Vidal Gabarro,August,2025-08-04,E,7274,514,3,29,48,9093,96.99
Enith Landaluze Goiria,August,2025-08-04,E,7645,872,2,31,25,9556,101.94
Lorena Méndez Molina,August,2025-08-04,E,5073,573,7,54,44,6341,67.65
Ivana Pujol Muñoz,August,2025-08-04,E,6608,510,2,50,15,8260,88.11
Garazi Iraia Díaz,August,2025-08-04,E,7095,711,1,11,27,8868,94.6
Enith Urruzola Elexpuru,August,2025-08-04,E,6715,547,4,45,14,8393,89.53
Amaiur Putellas Sampedro,August,2025-08-04,E,7564,625,1,12,56,9456,100.87
Garazi Gil Padrón,August,2025-08-04,E,6696,571,2,10,42,8370,89.28
Adriana Putellas Coll,August,2025-08-04,E,6603,570,4,44,39,8253,88.04
Lola Zubeldia Ojeda,August,2025-08-04,E,7396,844,3,58,38,9246,98.63
Inés Rius Badiola,August,2025-08-05,E,2681,149,4,27,42,3351,35.75
Berta Damaris Zubeldia,August,2025-08-05,E,2991,159,4,55,40,3738,39.88
Triana Duggan Cano,August,2025-08-05,E,6143,550,4,29,46,7679,81.92
Feller Caldentey Rubio,August,2025-08-05,E,5210,625,5,43,18,6513,69.48
Olga Sampedro Méndez,August,2025-08-05,E,5162,594,6,35,37,6453,68.84
Esther Banini Valls,August,2025-08-05,E,6054,570,2,11,49,7568,80.73
Amaia Gutiérrez Peña,August,2025-08-05,E,6968,638,1,30,14,8710,92.91
Lucía Rodríguez Szymanowski,August,2025-08-05,E,6956,444,4,54,17,8695,92.75
Sheila Vidal Gabarro,August,2025-08-05,E,6686,759,1,59,12,8357,89.15
Enith Landaluze Goiria,August,2025-08-05,E,7613,761,0,20,44,9516,101.51
Lorena Méndez Molina,August,2025-08-05,E,4986,501,5,26,47,6232,66.48
Ivana Pujol Muñoz,August,2025-08-05,E,7619,850,7,35,25,9524,101.59
Garazi Iraia Díaz,August,2025-08-05,E,7356,806,3,41,31,9195,98.08
Enith Urruzola Elexpuru,August,2025-08-05,E,6336,413,1,48,53,7920,84.49
Amaiur Putellas Sampedro,August,2025-08-05,E,6926,650,4,11,55,8657,92.35
Garazi Gil Padrón,August,2025-08-05,E,7234,397,1,51,55,9043,96.46
Adriana Putellas Coll,August,2025-08-05,E,6677,623,5,24,17,8346,89.03
Lola Zubeldia Ojeda,August,2025-08-05,E,7312,870,6,48,31,9140,97.5
Inés Rius Badiola,August,2025-08-06,E,3451,388,1,34,43,4313,46.01
